Om,normR,smin,smax,cond,stepnorm
1.1212507844079656e+00,7.8098799023888793e-07,1.0877241882573184e-01,5.1341502835359707e+00,4.7200846859547873e+01,5.0168863866136107e-06
1.1185452946383756e+00,1.4803550441438792e-04,1.0560223839148554e-01,5.1068869605212130e+00,4.8359646900561998e+01,3.9668418983315946e-04
1.1186812304434388e+00,4.8778736243686606e-08,1.0574350291798991e-01,5.1082554384042105e+00,4.8307983918084808e+01,5.3345268543747997e-07
1.1162410924981958e+00,6.4555753854194297e-04,1.0008032001861901e-01,5.0798880940668836e+00,5.0758112015647207e+01,4.1522623636523577e-03
1.1163687273502108e+00,4.9940213045746135e-07,1.0024735276268143e-01,5.0811686157750842e+00,5.0686312164311083e+01,5.7382010203011942e-06
1.1139437227893614e+00,1.5876001338896758e-03,8.2329427785009068e-02,5.0382163809205078e+00,6.1195814382155710e+01,2.5044812108651229e-03
1.1153687021758512e+00,6.8505022730711906e-06,9.0688477887472863e-02,5.0600138669030965e+00,5.5795554019349737e+01,8.6958849679190915e-05
1.1157864422027963e+00,2.4926909549549587e-05,9.0577421678258885e-02,5.0642109984532304e+00,5.5910301978365794e+01,3.1280090788326684e-05
1.1161713605677430e+00,4.6115695595550433e-05,9.0467923109770768e-02,5.0680814569840607e+00,5.6020756117443078e+01,1.1972396089188928e-04
1.1165270590419931e+00,6.5947744277027037e-05,9.0361203857884403e-02,5.0716611226041834e+00,5.6126533358061934e+01,1.9597183852208738e-04
1.1168566504186186e+00,6.5200905881251513e-04,9.1911752293375268e-02,5.0698637387642691e+00,5.5160124927024050e+01,1.2665379306533739e-03
1.1171881233491958e+00,4.4622601489077186e-07,9.2227896087581959e-02,5.0731956296767278e+00,5.5007170768149066e+01,4.7166397709500321e-06
1.1180525722324390e+00,4.9069504709824756e-05,9.2555112453157784e-02,5.0818934918481755e+00,5.4906675138233190e+01,2.1248146185130599e-04
1.1188604782135039e+00,4.1602888750416579e-04,8.4922629847491632e-02,5.0936489511682250e+00,5.9979877687674751e+01,3.7540103474910289e-03
1.1190026717771140e+00,4.6001231350037548e-07,8.4996712658874610e-02,5.0950796460031960e+00,5.9944431809401422e+01,6.8262928092470353e-06
1.1203461791812812e+00,3.7122909957497022e-04,7.8465582649143953e-02,5.0699017828675190e+00,6.4613064883968349e+01,2.9048684420475966e-03
1.1202977840205091e+00,1.4197337106691573e-07,7.8288152486053017e-02,5.0694110479540262e+00,6.4753233879891837e+01,1.9032175862694872e-06
1.1222322278521697e+00,1.1137817934295228e-04,7.8519132051861951e-02,5.0889280221790854e+00,6.4811312723348038e+01,9.1212171905265911e-04
1.1222101489446263e+00,1.8869073040097655e-08,7.8533175527918955e-02,5.0887054408084857e+00,6.4796888787458045e+01,1.6683498308253890e-07
1.1240986376092017e+00,9.8599356941314690e-05,6.6345719215848906e-02,5.0979041456811940e+00,7.6838478894104568e+01,1.3368481801563758e-03
