Om,normR,smin,smax,cond,stepnorm
1.1163836334250268e+00,2.8059512640052028e-07,9.0482056873007935e-02,5.0344165782378019e+00,5.5639944009049586e+01,3.5711002464717320e-06
1.1155671921501416e+00,3.3614460664035912e-04,8.6195845774954705e-02,5.0189590483674635e+00,5.8227389072453256e+01,1.0783637474496698e-03
1.1158171562467851e+00,2.6030302980107310e-07,8.6478711016961293e-02,5.0215065070291338e+00,5.8066389380436682e+01,3.4880127348639229e-06
1.1154917562620377e+00,3.2245073001487077e-04,8.2601684223722674e-02,5.0106967396591262e+00,6.0660951247530207e+01,1.1163728549218269e-03
1.1157157906429087e+00,2.4396487963123938e-07,8.2857916416586019e-02,5.0129886786826834e+00,6.0501022660029285e+01,3.4319129345046341e-06
1.1158306685831454e+00,3.1105823319555560e-04,7.9338137782484539e-02,5.4619240189929945e+00,6.8843612563324143e+01,1.1597655929216980e-03
1.1160323535467969e+00,2.3079780366075950e-07,7.9572148137416684e-02,3.1924857069266434e+01,4.0120642481756278e+02,3.4000520363466507e-06
1.1165436674872327e+00,3.0157814331508603e-04,7.6367367786152315e-02,5.0054573324341494e+00,6.5544452788404058e+01,1.2087041337544382e-03
1.1167258773961330e+00,2.2021652320691060e-07,7.6581923240091374e-02,5.0073417170115579e+00,6.5385426549201185e+01,3.3904168421220707e-06
1.1175953480109750e+00,2.9369657962360711e-04,6.7992829726719814e-02,6.4811116055230791e+00,9.5320515877516613e+01,1.2282584907959203e-03
1.1177604070559426e+00,2.1175410721708453e-07,7.3853458732295832e-02,5.0094740318458282e+00,6.7829917756515371e+01,3.3288291748649955e-06
1.1189542579801008e+00,2.8715884875832846e-04,7.1174563695770465e-02,5.0129241200563541e+00,7.0431399361767305e+01,1.2000378809142720e-03
1.1191040585834193e+00,2.0499738049659114e-07,7.1358353028277338e-02,5.0144976116501665e+00,7.0272048034279322e+01,3.1307520850273891e-06
1.1205921845383282e+00,2.8175816416809612e-04,6.8900922957579006e-02,5.0207055343626177e+00,7.2868480113884260e+01,1.1744667274425622e-03
1.1207282787468424e+00,1.9969389733946930e-07,6.9072239902982974e-02,5.0221491388735089e+00,7.2708647438210861e+01,2.9576470119376051e-06
1.1224835895006899e+00,2.7732592744326903e-04,6.6813803400524049e-02,5.0308675705305577e+00,7.5296829614269470e+01,1.1512137250201061e-03
1.1226072597959027e+00,1.9557516979506084e-07,6.6974141647398247e-02,5.0321944371917020e+00,7.5136378211234430e+01,2.8048381041235584e-06
1.1246051604798046e+00,2.7372474035318949e-04,6.4895284731161337e-02,5.0432017914182596e+00,7.7712915696579429e+01,1.1300062169365139e-03
1.1247174751724269e+00,1.9244256411959325e-07,6.5045897216509246e-02,5.0444226546770885e+00,7.7551742239582296e+01,2.6690797192932828e-06
1.1269354534565430e+00,2.7084226209536210e-04,6.3129746812608287e-02,5.0575188749097508e+00,8.0113086623367579e+01,1.1106160621293156e-03
1.1270373102823967e+00,1.9011527618946266e-07,6.3271678055773786e-02,5.0586428760712820e+00,7.9951141356044076e+01,2.5473741195907781e-06
1.1294546076845302e+00,2.6858664632031294e-04,6.1503481484655544e-02,5.0736456257894762e+00,8.2493632934507886e+01,1.0928523112401717e-03
1.1295467684248468e+00,1.8844981499207171e-07,6.1637615849257248e-02,5.0746803473091529e+00,8.2330899360545345e+01,2.4376666951616443e-06
1.1321441183353333e+00,2.6688262252513189e-04,6.0004421237839896e-02,5.0914220592539854e+00,8.4850781896105360e+01,1.0765533427934146e-03
1.1322272365315280e+00,1.8726637789187082e-07,6.0131500081915881e-02,5.0923740321798006e+00,8.4687294101137780e+01,2.3373744986971736e-06
1.1349866557960424e+00,2.6566903183095070e-04,4.8243845813700198e-02,5.2197130693742331e+00,1.0819438171514818e+02,1.0615897642934794e-03
1.1350612983698563e+00,1.8682951200111701e-07,5.6190052977662892e-02,5.2686864804239013e+00,9.3765465615744318e+01,2.2429323861247918e-06
1.1379659208405344e+00,2.6489404846791068e-04,5.7346145180793437e-02,5.1313394386506861e+00,8.9480111042743488e+01,1.0478401528343996e-03
1.1380325873232298e+00,1.8626055748658629e-07,5.7460962829984523e-02,5.1321418029993797e+00,8.9315276846027785e+01,2.1629721996712397e-06
1.1410665335685175e+00,2.6451610723268460e-04,5.6168863678229590e-02,5.1532109833197612e+00,9.1744974810966085e+01,1.0352260964447398e-03
1.1411256675399688e+00,1.8611603270993175e-07,5.6278289894748340e-02,5.1539452148399993e+00,9.1579634428816291e+01,2.0852563876533407e-06
1.1442739387926864e+00,2.6450056364908024e-04,3.9146976315835740e-02,7.8151458783657040e+00,1.9963600292685493e+02,1.0236578636137318e-03
1.1443259430838102e+00,1.8541396063039938e-07,5.4008721562316335e-02,5.2317816662988097e+00,9.6869200287629027e+01,2.0118236056518972e-06
1.1475743402478074e+00,2.6481593469667732e-04,5.4079410832985439e-02,5.2001629075695952e+00,9.6157906076849940e+01,1.0130835689620378e-03
